Country,Longitude,Latitude,Average_Tone,Mentions
Afghanistan,65.0,33.0,-2,15
Afghanistan,69.9204,33.3395,-2,2
Algeria,3.0,28.0,-3,12
Algeria,5.83333,23.1667,1,10
Argentina,-64.1833,-31.4,-5,5
Armenia,45.0,40.0,0,12
Australia,115.8,-31.75,2,40
Australia,115.833,-31.9333,-3,313
Australia,121.991,-33.8323,1,10
Australia,138.572,-35.0284,5,1
Australia,138.6,-34.9333,0,28
Australia,139.479,-35.9569,2,7
Australia,140.838,-17.4888,-1,10
Australia,142.467,-10.7167,0,10
Australia,142.488,-38.3818,0,506
Australia,142.7,-37.0667,-3,6
Australia,142.983,-37.85,-3,90
Australia,144.967,-37.8167,0,119
Australia,145.94,-41.68,2,8
Australia,146.25,-22.0667,-2,4
Australia,146.8,-38.15,0,10
Australia,148.967,-21.6333,-6,2
Australia,149.217,-35.2833,0,224
Australia,150.417,-33.95,-2,16
Australia,150.5,-31.5,-1,30
Australia,151.067,-32.45,0,8
Australia,151.15,-33.8833,0,7
Australia,151.16,-23.6222,-4,5
Australia,151.16,-33.8485,0,30
Australia,151.217,-33.8833,-1,3053
Australia,151.318,-33.6318,0,20
Australia,151.954,-27.5606,2,60
Australia,152.961,-26.8588,0,31
Australia,153.217,-27.75,-1,10
Bahamas,-77.4,25.0333,3,10
Bahrain,50.55,26.0,1,20
Belarus,30.2049,55.1904,5,10
Belgium,4.33333,50.8333,1,22
Belgium,4.91544,51.0905,-1,2
Belgium,5.69636,50.9674,-4,5
Belize,-88.7667,17.25,-2,72
Bhutan,90.5,27.5,3,20
Brazil,-38.15,-5.71667,-4,41
Brazil,-43.2333,-22.9,-3,15
Brazil,-44.2667,-2.51667,-5,24
Brazil,-45.8833,-23.1833,3,10
Brazil,-55.0,-10.0,0,236
Brazil,-60.0253,-3.11333,-6,6
Cambodia,103.013,11.3336,-6,252
Cambodia,104.181,10.6104,-4,20
Cambodia,104.917,11.55,0,29
Cambodia,105.0,13.75,-3,10
Cameroon,10.0,6.01667,-4,10
Cameroon,12.0,6.0,0,47
Canada,-110.683,50.0333,-2,2
Canada,-111.383,56.7333,0,10
Canada,-113.317,53.5167,-1,2
Canada,-114.083,51.0833,0,140
Canada,-114.767,47.75,6,20
Canada,-119.483,49.9,-2,1
Canada,-121.0,66.0,2,5
Canada,-121.917,53.9167,-1,52
Canada,-122.917,49.2167,-5,20
Canada,-123.15,49.7,2,12
Canada,-139.417,64.0667,0,8
Canada,-67.7167,46.8,0,10
Canada,-72.0,47.5,-1,198
Canada,-78.0,43.6667,-5,10
Canada,-79.5667,43.7,0,2
Canada,-80.0,43.8667,2,4
Canada,-84.0,74.25,3,20
Canada,-85.0,45.0,-2,25
Chad,19.0,15.0,-1,6
China,100.033,23.9,-1,10
China,105.48,35.1221,0,2
China,109.931,21.2562,-3,10
China,116.388,39.9289,0,170
China,116.492,28.8401,-4,10
China,123.0,46.95,-2,8
China,84.0833,33.3667,0,7
China,89.25,29.1667,2,4
China,97.2333,31.1667,-3,16
Colombia,-72.0,4.0,-3,19
Colombia,-74.199,11.2408,-3,4
Congo,15.0,-1.0,1,211
Congo,15.2847,-4.25917,-2,16
CostaRica,-83.3053,8.53627,3,6
Croatia,15.3181,44.5639,0,4
Cuba,-83.4833,22.4167,0,8
Cyprus,33.0,35.0,0,3
CzechRepublic,14.1303,50.5384,-3,5
CzechRepublic,14.3483,49.193,-2,2
DemocraticRepublicoftheCongo,15.315,-4.32972,-6,2
DemocraticRepublicoftheCongo,23.25,-6.26667,-5,20
Denmark,10.0,56.0,-2,364
Ecuador,-77.5,-2.0,1,12
Ecuador,-78.6,-0.55,-3,20
ElSalvador,-89.0,14.05,-4,5
Fiji,177.517,-18.1833,2,4
France,-0.066667,44.9833,1,6
France,1.24534,46.6273,-3,24
France,4.62754,48.9105,3,8
Gambia,-16.5775,13.4531,-2,575
Germany,13.0,47.6333,-3,1
Germany,13.3667,52.5167,-4,5
Germany,14.15,50.9167,0,40
Germany,14.55,52.35,3,10
Germany,6.41667,50.4333,-1,1
Germany,9.0,51.0,-1,121
Greece,23.7333,37.9833,-3,44
Grenada,-61.6667,12.1167,4,4
Haiti,-72.2869,18.4506,0,26
Honduras,-84.6833,15.8833,-2,4
HongKong,114.25,22.1667,1,5
Hungary,20.0,47.0,0,15
Iceland,-21.0,63.9333,2,16
Iceland,-21.95,64.15,3,10
India,65.0,20.0,-5,4
India,70.4667,21.5167,-5,15
India,70.9,26.4667,-3,2
India,71.25,26.1833,-1,31
India,72.6167,23.0333,0,4
India,72.6833,23.2167,-4,24
India,72.9,19.0833,1,10
India,72.9,20.9667,-2,10
India,73.1,18.9833,-3,15
India,73.75,15.5333,0,24
India,73.8667,18.5333,-1,18
India,73.9167,15.2667,-6,6
India,74.0833,17.9,-1,6
India,74.75,13.35,0,58
India,74.8667,32.7333,0,40
India,75.0,17.4833,0,6
India,75.7833,12.9667,-2,15
India,76.0,13.5,-1,24
India,76.0333,28.7167,-2,8
India,76.2167,10.5167,-2,10
India,76.6333,11.6667,-1,20
India,76.6667,33.9167,-2,50
India,77.0,20.0,0,177
India,77.35,11.1,2,10
India,77.7333,11.35,-1,18
India,78.5,23.5,0,104
India,79.0333,23.5,0,10
India,79.25,30.25,0,86
India,79.3583,27.0529,-4,10
India,79.5,18.0,-1,11
India,80.2467,13.0156,0,2
India,80.75,27.25,2,27
India,81.1,16.7,-3,10
India,81.75,21.5,-4,3
India,83.7167,20.6167,-3,10
India,88.3697,22.5697,0,2503
Indonesia,110.5,0.0,-3,10
Iran,56.5,27.75,-5,6
Ireland,-7.95,53.4333,-4,4
Ireland,-8.26028,52.7497,0,10
Ireland,-9.91667,53.4,-4,6
Israel,34.7667,32.0667,1,31
Israel,35.2333,31.7667,-2,48
Israel,35.5928,32.8072,1,14
Italy,12.8333,42.8333,0,106
Jamaica,-76.2106,17.9127,-2,10
Jamaica,-77.8333,17.0,-3,8
Japan,127.773,26.2872,-4,40
Japan,128.032,26.523,0,6
Japan,135.167,34.6833,0,12
Japan,141.3,38.4167,-1,2
Kenya,35.2699,0.520356,-7,10
Kenya,36.8167,-1.28333,-2,315
Kenya,36.8333,-1.23333,0,2
Kenya,36.85,-1.28333,1,10
Kenya,37.5965,-2.15648,0,4
Kenya,37.6463,0.608963,-1,5
Kenya,39.6799,-4.06253,0,24
Kenya,39.6981,-4.05291,1,1
Laos,105.0,18.0,-2,16
Latvia,24.1,56.95,-1,12
Lebanon,36.0797,34.5428,-3,4
Liberia,-9.5,6.5,1,6
Malawi,33.7833,-13.9833,-4,10
Malaysia,102.401,4.3831,-1,5
Maldives,72.9667,3.78333,6,5
Malta,14.3853,35.9056,-3,20
Malta,14.5147,35.8997,0,130
Mexico,-102.0,23.0,-1,193
Mexico,-106.483,31.7333,0,19
Mongolia,106.917,47.9167,0,30
Morocco,-5.0,32.0,-5,5
Mozambique,34.0728,-18.6756,0,20
Myanmar,95.9833,21.8667,1,10
Namibia,15.6833,-17.7833,0,4
Namibia,22.5667,-17.8,-6,10
Nepal,84.0,28.0,-1,11
Netherlands,4.91667,52.35,-1,450
NewZealand,-176.217,-44.2333,-5,20
NewZealand,-177.917,-29.2667,6,20
NewZealand,169.5,-45.25,6,5
NewZealand,172.617,-41.7667,0,4
NewZealand,172.833,-40.6667,2,139
NewZealand,172.867,-40.5167,2,80
NewZealand,174.783,-41.3,0,30
NewZealand,174.794,-36.5067,-1,40
NewZealand,175.333,-40.3333,1,4
NewZealand,175.467,-41.2167,2,6
Niger,8.0,16.0,-5,5
Nigeria,12.3167,9.38333,-4,27
Nigeria,3.39194,6.45444,-5,2
Nigeria,3.39583,6.45306,-3,30
Nigeria,6.63333,12.55,0,5
Nigeria,6.83333,4.75,3,13
Nigeria,8.829,5.6088,0,2
Norway,10.75,59.9167,-1,25
Oceans,35.0,43.0,-3,74
Oman,57.5,23.1667,1,370
Pakistan,69.1937,25.386,-2,10
Pakistan,70.0,30.0,-1,37
Pakistan,72.2407,33.8928,1,20
Pakistan,73.9042,32.6577,0,5
Pakistan,74.3436,31.5497,-1,17
Palau,134.5,7.5,0,5
Panama,-79.9167,9.33333,-2,80
Panama,-80.0,9.0,-1,10
PapuaNewGuinea,150.454,-10.3076,0,10
PapuaNewGuinea,152.5,-10.0,1,10
Peru,-75.4172,-11.7899,-4,10
Peru,-77.05,-12.05,-2,43
Philippines,120.36,16.0111,5,3
Philippines,120.483,13.4333,0,5
Philippines,120.567,15.3333,0,10
Philippines,120.982,14.6042,-1,189
Philippines,121.083,14.5833,3,8
Philippines,121.141,13.8055,1,8
Philippines,122.0,13.0,2,50
Philippines,122.361,11.0569,2,8
Philippines,124.882,7.21212,-5,5
Poland,18.68,53.2304,0,15
Russia,41.4433,52.7317,-6,4
Russia,53.0431,67.6418,0,3
Russia,53.5667,58.0167,-1,10
Rwanda,29.9336,-1.4746,0,4
