Country,Longitude,Latitude,Goldstein
Afghanistan,65.0,33.0,-3.0
Argentina,-57.9545,-34.9215,-5.0
Australia,115.107,-33.6185,-2.0
Australia,115.833,-31.9333,-3.0
Australia,149.217,-35.2833,-3.0
Australia,150.418,-33.6152,-10.0
Australia,151.217,-33.8833,-5.0
Australia,151.318,-33.6318,-5.0
Australia,151.35,-33.5167,-9.0
Australia,153.1,-26.6601,-2.0
Australia,153.167,-25.2503,-10.0
Bahamas,-75.8842,23.5694,-10.0
Belgium,4.33333,50.8333,-4.0
Brazil,-36.4833,-7.31667,-10.0
Brazil,-39.3333,-12.1667,-10.0
Brazil,-41.6167,-5.5,-2.0
Brazil,-43.2333,-22.9,-7.0
Brazil,-46.7463,-23.4058,-10.0
Brazil,-55.0,-10.0,-6.0
Bulgaria,27.0,42.0667,-4.0
Cambodia,103.013,11.3336,-8.0
Cambodia,104.917,11.55,-8.0
Canada,-111.383,56.7333,-3.0
Canada,-113.95,49.4833,-4.0
Canada,-114.083,51.0833,-10.0
Canada,-123.767,49.4667,-5.0
Canada,-72.0,47.5,-3.0
Canada,-77.45,46.0167,-4.0
Canada,-94.05,61.1167,-10.0
Canada,-99.45,50.2333,-4.0
CentralAfricanRepublic,21.0,7.0,-4.0
Chad,19.0,15.0,-10.0
China,109.484,18.9394,-4.0
China,116.388,39.9289,-6.0
China,120.169,30.2553,-10.0
Colombia,-72.0,4.0,-4.0
Congo,15.0,-1.0,-2.0
CostaRica,-83.5931,9.23396,-6.0
CzechRepublic,14.3483,49.193,-9.0
DemocraticRepublicoftheCongo,15.315,-4.32972,-2.0
DemocraticRepublicoftheCongo,23.25,-6.26667,-10.0
Denmark,10.0,56.0,-10.0
Ecuador,-77.5,-2.0,-2.0
Egypt,30.0,27.0,-2.0
Gambia,-16.5775,13.4531,-10.0
Germany,9.0,51.0,-7.0
Honduras,-87.2167,14.1,-10.0
Iceland,-21.95,64.15,-5.0
India,76.6333,11.6667,-10.0
India,77.0,20.0,-3.0
India,78.5,23.5,-4.0
India,80.75,27.25,-5.0
India,88.3697,22.5697,-2.0
Indonesia,106.829,-6.17444,-6.0
Ireland,-9.71667,52.2667,-10.0
Israel,35.2333,31.7667,-5.0
Italy,12.8333,42.8333,-4.0
Kenya,36.8167,-1.28333,-5.0
Malaysia,103.462,3.5321,-6.0
Malaysia,116.072,5.9749,-4.0
Malta,14.3458,35.97,-4.0
MarshallIslands,168.0,9.0,-6.0
Mexico,-102.0,23.0,-8.0
Mexico,-104.393,19.1167,-4.0
Mexico,-105.917,22.75,-4.0
Mexico,-91.8542,17.475,-2.0
Morocco,-5.0,32.0,-4.0
Netherlands,4.91667,52.35,-6.0
NewZealand,172.867,-40.5167,-10.0
NewZealand,174.783,-41.3,-8.0
Niger,8.0,16.0,-4.0
Pakistan,70.0,30.0,-2.0
Pakistan,74.3436,31.5497,-2.0
Peru,-72.9453,-11.7175,-4.0
Peru,-77.05,-12.05,-8.0
Philippines,120.982,14.6042,-6.0
SaudiArabia,45.0,25.0,-2.0
Singapore,103.858,1.28389,-8.0
SouthAfrica,31.5,-23.8333,-3.0
SouthSudan,31.6012,4.84597,-4.0
Spain,-15.5,28.0,-4.0
Spain,-3.68333,40.4,-4.0
Spain,-4.0,40.0,-5.0
Switzerland,7.46667,46.9167,-4.0
Syria,38.0,35.0,-4.0
Tanzania,35.0,-6.0,-3.0
Tanzania,36.6833,-3.36667,-4.0
Tanzania,40.1833,-10.2667,-5.0
Thailand,100.931,13.1737,-2.0
TrinidadandTobago,-61.4951,10.6486,-4.0
TrinidadandTobago,-61.5486,10.1844,-6.0
TrinidadandTobago,-61.6824,10.1782,-5.0
Tunisia,10.1797,36.8028,-7.0
Turkey,28.6767,41.3053,-6.0
Turkey,29.0433,41.0572,-6.0
Turkey,32.8644,39.9272,-5.0
Turkey,32.8918,36.6404,-2.0
Turkey,35.6592,38.7918,-7.0
Uganda,32.5667,0.333333,-10.0
UnitedKingdom,-0.133333,51.5,-3.0
UnitedKingdom,-0.916667,50.85,-5.0
UnitedKingdom,-2.23333,53.45,-5.0
UnitedKingdom,-3.01639,51.2169,-10.0
UnitedKingdom,-3.15,51.8,-2.0
UnitedKingdom,-6.0,56.7167,-10.0
UnitedStates,-101.831,35.222,-5.0
UnitedStates,-102.989,38.46,-2.0
UnitedStates,-105.075,40.3978,-2.0
UnitedStates,-106.925,38.5458,-2.0
UnitedStates,-107.209,42.7475,-6.0
UnitedStates,-108.984,40.5289,-4.0
UnitedStates,-110.388,40.1616,-5.0
UnitedStates,-110.667,32.5006,-2.0
UnitedStates,-112.139,36.0544,-10.0
UnitedStates,-115.311,35.3405,-10.0
UnitedStates,-117.113,32.5839,-10.0
UnitedStates,-117.122,38.4199,-5.0
UnitedStates,-118.327,34.0983,-3.0
UnitedStates,-118.775,34.1364,-9.0
UnitedStates,-118.853,44.2482,-2.0
UnitedStates,-119.001,44.5002,-2.0
UnitedStates,-119.015,38.0076,-10.0
UnitedStates,-119.746,36.17,-5.0
UnitedStates,-121.121,37.0573,-2.0
UnitedStates,-121.291,37.9577,-2.0
UnitedStates,-121.523,40.3263,-2.0
UnitedStates,-122.127,44.5672,-7.0
UnitedStates,-122.271,37.8044,-7.0
UnitedStates,-122.485,37.8591,-2.0
UnitedStates,-122.919,38.0119,-10.0
UnitedStates,-133.682,56.9117,-2.0
UnitedStates,-144.501,68.7506,-5.0
UnitedStates,-157.531,21.1098,-9.0
UnitedStates,-163.008,69.7439,-10.0
UnitedStates,-69.3977,44.6074,-7.0
UnitedStates,-71.5314,42.2373,-9.0
UnitedStates,-71.6412,42.3195,-10.0
UnitedStates,-72.7093,44.0407,-6.0
UnitedStates,-73.1929,42.5126,-2.0
UnitedStates,-73.3518,41.6751,-4.0
